Words,Count
Perfect,12
Great,6		
Best,6	
Joy,1		
Healthy,2		
Amazing,4		
Glad,4		
Lovely,8		
Pleasure,1		
Love,16		
Adore,3		
Happy,6		
Sweet,3		
Grateful,6		
Delighted,3		
Thrilled,1		
Beautiful,11		
Fabulous,1		
Gorgeous,1		
Wonderful,2		
Thankful,1		
Companionship,1		
Family,10		
Loyal,1		
Affectionate,3		
Awesome,2		
